PERMIT NUMBER,OWNER NAME,OPERATING NAME,BUSINESS NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude,Accuracy Score,Accuracy Type
AK-W-15001,ALASKA MEADS LLC,RING OF FIRE MEADERY,RING OF FIRE MEADERY,178 E BUNNELL AVE,HOMER,AK,99603,KENAI PENINSULA,59.640029,-151.541909,1,rooftop
AK-W-20240,MCBESS ENTERPRISES LLC,ALASKA DENALI WINERY,ALASKA DENALI WINERY,11901 INDUSTRY WAY UNIT A1&2,ANCHORAGE,AK,99515,MUNICIPALITY OF ANCHORAGE,61.112857,-149.861672,1,rooftop
AK-W-21001,ALASKA BERRIES LLC,,ALASKA BERRIES,48660 W POPPY LN,SOLDOTNA,AK,99669,,60.48832,-151.193991,1,rooftop
AK-W-21003,"TWISTER CREEK, LLC",,TWISTER CREEK,37083 S TALKEETNA SPUR RD,TALKEETNA,AK,99676,MATANUSKA-SUSITNA BOROUGH,62.161633,-150.029294,1,rooftop
AK-W-21004,"DOUBLE SHOVEL CIDER COMPANY, LLC",,DOUBLE SHOVEL CIDER COMPANY,502 W 58TH AVE UNIT C AND D,ANCHORAGE,AK,99518,,61.168769,-149.891587,1,rooftop
AK-W-21005,BELL'S VINEYARD AND WINERY LLC,,BELL'S VINEYARD AND WINERY,1227 E 75TH AVE,ANCHORAGE,AK,99518,,61.152576,-149.85883,1,rooftop
AK-W-21007,"TWO SEASONS MEAD, LLC",TWO SEASONS MEADERY,TWO SEASONS MEADERY,801 E 82ND AVE UNIT D-3,ANCHORAGE,AK,99518,,61.146921,-149.866718,1,rooftop
AK-W-21008,KING STREET BREWING LLC,KING STREET BREWING COMPANY,KING STREET BREWING COMPANY,9050 KING ST,ANCHORAGE,AK,99515,,61.13923,-149.879188,1,rooftop
AK-W-21009,ALASKA PACIFC BEVERAGE COMPANY LLC,49TH STATE BREWING,49TH STATE BREWING,721 W DEPOT DRIVE STE 49,ANCHORAGE,AK,99501,,61.220018,-149.855702,0.33,place
AK-W-21010,DEVIL'S CLUB BREWING LLC,,DEVIL'S CLUB BREWING,100 N FRANKLIN ST,JUNEAU,AK,99810,,58.30079,-134.406323,0.9,rooftop
AK-W-273,"BEAR CREEK WINERY, LLC",,BEAR CREEK WINERY,60203 BEAR CREEK DR,HOMER,AK,99603,KENAI PENINSULA,59.669572,-151.455799,1,rooftop
AL-W-11,"PERDIDO VINEYARDS OF GEORGIA, INC.",,PERDIDO VINEYARDS OF GEORGIA,22100 COUNTY RD,PERDIDO,AL,36562,BALDWIN,31.040286,-87.666699,0.33,place
AL-W-13,JAHN MICHEL COPPEY AND JANIE R. COPPEY,WILLS CREEK VINEYARDS,WILLS CREEK VINEYARDS,10522 DUCK SPRINGS RD,ATTALLA,AL,35954,ETOWAH,34.147589,-85.996227,1,rooftop
AL-W-14,"WHITE OAK VINEYARDS, LLC",WHITE OAK VINEYARDS,WHITE OAK VINEYARDS,1484 DRY HOLLOW RD,ANNISTON,AL,36207,CALHOUN,33.664872,-85.672073,1,rooftop
AL-W-15000,"FIRST FRUITS, L.L.C.",THE WINERY ON MAIN,THE WINERY ON MAIN,613 2ND AVE,CLANTON,AL,35045,CHILTON,32.839113,-86.630915,0.8,range_interpolation
AL-W-15003,"CMC WINERY, INC.",MORGAN CREEK VINEYARDS,MORGAN CREEK VINEYARDS,181 MORGAN CREEK LN,HARPERSVILLE,AL,35078,SHELBY,33.326977,-86.457289,1,rooftop
AL-W-15004,"JULES J. BERTA VINEYARDS, LLC",,JULES J. BERTA VINEYARDS,1409 DARDEN AVE,ALBERTVILLE,AL,35951,MARSHALL,34.244174,-86.168914,1,rooftop
AL-W-15005,"WHIPPOORWILL VINEYARD, L.L.C.",WHIPPOORWILL VINEYARD,WHIPPOORWILL VINEYARD,4282 COUNTY RD 31,NOTASULGA,AL,36866,MACON,32.536635,-85.697354,0.33,place
